exclusion_category,raw_row_index,system_id,datetime_iso,reason,details
TARGET_UNAVAILABLE,-1,IMD-2016-9-VARDAH,2016-12-12T09:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-9-VARDAH,2016-12-12T12:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-9-VARDAH,2016-12-12T15:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-9-VARDAH,2016-12-12T18:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2016-9-VARDAH,2016-12-13T00:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-1-MAARUTHA,2017-04-16T06:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-1-MAARUTHA,2017-04-16T09:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-1-MAARUTHA,2017-04-16T12:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-1-MAARUTHA,2017-04-16T15:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-1-MAARUTHA,2017-04-16T18:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-1-MAARUTHA,2017-04-16T21:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-1-MAARUTHA,2017-04-17T00:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-10-UNNAMED10,2017-06-12T03:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-10-UNNAMED10,2017-06-12T06:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-10-UNNAMED10,2017-06-12T12:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-10-UNNAMED10,2017-06-12T18:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-10-UNNAMED10,2017-07-12T00:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-10-UNNAMED10,2017-07-12T03:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-10-UNNAMED10,2017-07-12T06:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-10-UNNAMED10,2017-07-12T12:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-10-UNNAMED10,2017-07-12T18:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
TARGET_UNAVAILABLE,-1,IMD-2017-10-UNNAMED10,2017-08-12T00:00:00,NO_VALID_24H_FUTURE_FIX_TERMINAL_DISSIPATION,"Cyclone dissipates within 24 hours of forecast origin (no future fix within [T+21h, T+27h])"
